firstname,gender,tokens
betsy,female,"['thank', 'amazon', 'carri', 'essenti', 'light', 'bulbsfor', 'read', 'see', 'across', 'room', 'watt', 'make', 'huge', 'differ', 'let', 'light', 'size', 'exact', 'look', 'hard', 'find', 'round', 'heat', 'brush', 'size', 'brush', 'attach', 'great', 'plastic', 'brush', 'attachmentth', 'plastic', 'head', 'long', 'sharp', 'take', 'hurt', 'touch', 'abl', 'work', 'long', 'move', 'slowli', 'like', 'way', 'plastic', 'attach', 'work', 'hair', 'brush', 'attach', 'dure', 'winter', 'hair', 'straight', 'static', 'brush', 'onli', 'make', 'wors', 'though', 'money', 'worth', 'good', 'size']"
betty,female,"['read', 'use', 'look', 'internet', 'instruct', 'would', 'nice', 'bar', 'receiv', 'howev', 'littl', 'research', 'fine', 'realli', 'bad', 'outbreak', 'eczema', 'hand', 'happenalway', 'know', 'happen', 'hand', 'start', 'itch', 'realli', 'bad', 'use', 'soap', 'itch', 'stop', 'almost', 'immedi', 'outbreak', 'occur', 'would', 'recommend', 'least', 'purpos', 'alon', 'good', 'eczema', 'reassur', 'know', 'product', 'deliv', 'front', 'door', 'date', 'design', 'also', 'product', 'exact', 'describ', 'high', 'perform', 'person', 'item', 'mani', 'us', 'reli', 'depend', 'love', 'cream', 'cream', 'littl', 'dri', 'like', 'shelf', 'life', 'expir', 'close', 'expir', 'love', 'product', 'think', 'shelf', 'expir', 'like', 'product', 'nice', 'aroma', 'like', 'fact', 'appli', 'brush', 'appear', 'soften', 'cuticl', 'moistur', 'nail', 'nailiqu', 'oil', 'therapi', 'mascara', 'live', 'review', 'return', 'becaus', 'messi', 'eye', 'never', 'buy', 'terribl', 'mascara']"
beverly,female,"['actual', 'one', 'ship', 'one', 'reciev', 'doe', 'plug', 'open', 'kept', 'anyway', 'wish', 'gotten', 'one', 'order', 'one', 'befor', 'realli', 'like', 'wrong', 'item', 'ship', 'one', 'practic', 'would', 'never', 'let', 'daughter', 'assum', 'would', 'calm', 'enough', 'deploy', 'case', 'emerg', 'would', 'whole', 'famili', 'would', 'made', 'practic', 'first', 'model', 'safe', 'use', 'onc', 'emerg', 'ladder', 'use', 'onc', 'faucet', 'fit', 'perfect', 'bath', 'tub', 'faucet', 'easi', 'instal', 'look', 'great', 'year', 'old', 'instal', 'anyon', 'flip', 'top', 'take', 'screw', 'replac', 'new', 'one', 'delta', 'faucet', 'sturdi', 'durabl', 'feel', 'good', 'purchas', 'item', 'would', 'reorder', 'want', 'purchas', 'item', 'carri', 'bag', 'heavi', 'duti', 'auto', 'jumper', 'cabl', 'jumper', 'cabl', 'bag', 'idea', 'gift', 'sister', 'wll', 'hold', 'cabl', 'easi', 'find', 'need', 'start', 'use', 'chantilli', 'product', 'near', 'year', 'ago', 'time', 'tri', 'fragranc', 'rediscov', 'chantilli', 'year', 'ago', 'granddaught', 'told', 'use', 'itl', 'dont', 'general', 'wear', 'perfum', 'cologn', 'enjoy', 'use', 'chantilli', 'dust', 'powder', 'old', 'time', 'favorit', 'cousin', 'live', 'canada', 'purchas', 'shampoo', 'canada', 'say', 'shampoo', 'wonder', 'hair', 'would', 'like', 'continu', 'use', 'thisi', 'visit', 'usa', 'winter', 'result', 'could', 'order', 'product', 'deliv', 'place', 'yuma', 'az', 'bring', 'back', 'canada', 'heri', 'must', 'say', 'impress', 'quick', 'receiv', 'product', 'less', 'one', 'weekthank', 'master', 'trait', 'sulfat', 'free', 'normal', 'dri', 'shampoo', 'love', 'way', 'tighten', 'skin', 'yet', 'keep', 'soft', 'excel', 'product', 'year', 'old', 'sun', 'damag', 'skin', 'derma', 'e', 'firm', 'moistur', 'aplpha', 'lipol']"
bianca,female,"['christma', 'present', 'husband', 'hit', 'awesom', 'gift', 'complaint', 'packag', 'veri', 'nice', 'veri', 'high', 'qualiti', 'product', 'read', 'great', 'review', 'decid', 'buy', 'flat', 'iron', 'go', 'go', 'expens', 'one', 'decid', 'read', 'great', 'review', 'even', 'onli', 'wish', 'would', 'bought', 'expens', 'one', 'one', 'work', 'ok', 'noth', 'like', 'review', 'say', 'still', 'purchas', 'expens', 'one', 'instanc', 'believ', 'get', 'pay', 'one', 'definit', 'worth', 'flat', 'iron', 'bought', 'year', 'ago', 'work', 'well', 'one', 'don8217t', 'get', 'wrong', 'doe', 'straighten', 'hair', 'look', 'finish', 'salon', 'disappoint', 'good', 'true']"
bilal,male,"['worst', 'thing', 'water', 'drip', 'side', 'doesnt', 'fit', 'faucet', 'water', 'stream', 'veri', 'thin', 'wouldnt', 'recommend', 'anyon', 'veri', 'poor', 'qualiti']"
bill,male,"['socket', 'fall', 'flip', 'upsid', 'socket', 'set', 'dont', 'mani', 'socket', 'lot', 'wast', 'space', 'expens', 'get', 'strong', 'want', 'end', 'return', 'becaus', 'decent', 'pencil', 'pocket', 'util', 'knife', 'pocket', 'like', 'pocket', 'readili', 'avail', 'quick', 'draw', 'otherwis', 'decent', 'qualiti', 'sad', 'send', 'back', 'work', 'left', 'hander', 'interest', 'tool', 'belt', 'philosophi', 'one', 'side', 'nail', 'fasten', 'plus', 'punch', 'nail', 'puller', 'mayb', 'chiselth', 'youll', 'use', 'nondomin', 'hand', 'case', 'right', 'side', 'hammer', 'place', 'batteri', 'drill', 'snip', 'plier', 'write', 'utensil', 'util', 'knifeth', 'youll', 'use', 'domin', 'hand', 'left', 'belt', 'lot', 'pocket', 'seem', 'somewhat', 'random', 'place', 'even', 'right', 'hander', 'isnt', 'realli', 'good', 'place', 'multipl', 'pencil', 'knife', 'mani', 'pocket', 'probabl', 'place', 'put', 'ani', 'tool', 'may', 'veri', 'efficientit', 'doe', 'big', 'pocket', 'ani', 'batteri', 'drill', 'fit', 'belt', 'kind', 'cheap', 'hole', 'punch', 'leather', 'reinforc', 'belt', 'probabl', 'wear', 'befor', 'pouchesif', 'want', 'carri', 'lot', 'tool', 'hold', 'like', 'travel', 'light', 'effici', 'might', 'ok', 'left', 'hander', 'good', 'buddi', 'davey', 'blane', 'recommend', 'vice', 'came', 'demonstr', 'show', 'good', 'put', 'yarbl', 'vice', 'squeez', 'hard', 'could', 'yep', 'hes', 'freaki', 'way', 'tighten', 'vice', 'hard', 'one', 'ball', 'explod', 'sack', 'splatter', 'shop', 'wall', 'prove', 'point', 'guy', 'realli', 'believ', 'product', 'solid', 'construct', 'keep', 'twig', 'berri', 'away', 'clamp', 'dude', 'name', 'drybon', 'didnt', 'learn', 'lesson', 'eunuch', 'dont', 'get', 'nut', 'caught', 'vice', 'woodwork', 'busi', 'sinc', 'use', 'blade', 'three', 'differ', 'saw', 'everi', 'day', 'never', 'tip', 'chip', 'like', 'review', 'buy', 'rough', 'year', 'saw', 'inch', 'oak', 'walnut', 'poplar', 'daili', 'basi', 'blade', 'alway', 'get', 'done', 'crosscut', 'veri', 'littl', 'chip', 'find', 'sometim', 'blade', 'last', 'longer', 'true', 'ani', 'blade', 'shortest', 'live', 'blade', 'last', 'long', 'time', 'even', 'hard', 'usethi', 'onli', 'blade', 'consid', 'orderingkeep', 'good', 'work', 'freud', 'onli', 'blade', 'shop', 'purchas', 'unit', 'year', 'ago', 'kenmor', 'distil', 'stop', 'work', 'unabl', 'replac', 'sear', 'month', 'daili', 'use', 'found', 'water', 'counter', 'cup', 'short', 'thereaft', 'found', 'rusti', 'water', 'counter', 'water', 'build', 'outsid', 'shell', 'inner', 'contain', 'month', 'ago', 'rusti', 'water', 'pour', 'electr', 'plug', 'unit', 'last', 'night', 'bolt', 'center', 'unit', 'bottom', 'rust', 'inner', 'contain', 'seper', 'unit', 'unit', 'fail', 'buy', 'dont', 'wast', 'money', 'work', 'great', 'see', 'meteor', 'shower', 'would', 'recommend', 'everyoneth', 'red', 'light', 'kept', 'night', 'vision', 'intact', 'allow', 'us', 'get', 'around', 'great', 'flashlight', 'stargaz', 'great', 'price', 'product', 'work', 'great', 'onli', 'thing', 'realli', 'complaint', 'mill', 'materi', 'side', 'make', 'slot', 'fit', 'slot', 'new', 'tabl', 'work', 'great', 'veri', 'durabl', 'last', 'along', 'time', 'great', 'product', 'need', 'mill', 'machin', 'anyon', 'use', 'work', 'electr', 'instal', 'themther', 'one', 'singl', 'bit', 'tarnish', 'seen', 'shini', 'everon', 'veri', 'small', 'negat', 'weight', 'light', 'littl', 'much', 'bracket', '34lean34', 'bit', 'toward', 'garag', 'wall', 'stick', 'someth', 'right', 'size', 'bottom', 'light', 'wall', 'good', 'go', 'year', 'half', 'couldnt', 'much', 'happier', 'star', 'fivei', 'small', 'led', 'lamp', 'plug', 'sensorplug', 'locat', 'kitchenmi', 'onli', 'minor', 'quibbl', 'lamp', 'stay', 'minut', 'second', 'last', 'detect', 'motion', 'even', 'though', 'minmax', 'dial', 'lowest', 'set', 'minut', 'even', 'minut', 'longer', 'would', 'ideal', 'mebefor', 'buy', 'one', 'handi', 'littl', 'gadget', 'spend', 'time', 'look', 'put', 'onli', 'outlet', 'would', 'work', 'happen', 'face', 'away', 'kitchen', 'window', 'caus', 'lamp', 'come', 'littl', 'later', 'need', 'morn', 'littl', 'sooner', 'necessari', 'eveningmi', 'solut', 'mount', 'sensor', 'plug', 'unit', 'bottom', 'framework', 'cabinet', 'face', 'window', 'run', 'short', 'extens', 'cord', 'nearbi', 'outletwer', 'design', 'newer', 'model', 'id', 'sensor', 'end', 'cord', 'could', 'hang', 'littl', 'hook', 'way', 'mount', 'desir', 'limit', 'sensor', 'locat', 'onli', 'outlet', 'littl', 'restrict', 'work', 'advertis', 'use', 'dewalt', 'recharg', 'batteri', 'sever', 'year', 'complaint', 'old', 'shop', 'warn', 'dewalt', 'saw', 'use', 'mani', 'tough', 'job', 'order', 'recharg', 'batteri', 'backup', 'batteri', 'arriv', 'prompt', 'excel', 'condit', 'thing', 'like', 'best', 'use', 'tool', 'batteri', 'get', 'extens', 'cord', 'find', 'electr', 'outlet', 'near', 'work', 'often', 'go', 'yard', 'nearbi', 'wood', 'use', 'drill', 'saw', 'batteri', 'job', 'around', 'hous', 'longer', 'chore', 'go', 'recharg', 'long', 'last', 'power', 'work', 'got', 'degre', 'would', 'ever', 'buy', 'one', 'bad', 'get', 'someth', 'know', 'go', 'help', 'keep', 'chicken', 'warm', 'doesnt', 'work', 'chicken', 'water', 'light', 'hook', 'never', 'came', 'even', 'got', 'degre', 'outsid', 'junk', 'work', 'great', 'laundri', 'room', 'lot', 'warmer', 'prettiest', 'thing', 'stick', 'side', 'housebuti', 'plan', 'stain', 'color', 'wall', 'springhardest', 'part', 'replac', 'old', 'stove', 'pipe', 'go', 'wall', 'taper', 'end', 'neededto', 'fit', 'dryer', 'vent', 'closur', 'open', 'advertis', 'product', 'fit', 'correct', 'sent', 'back', 'supplier', 'request', 'inform', 'correct', 'part', 'heard', 'fit', 'correct', 'order', 'two', 'think', 'milwauke', 'still', 'produc', 'qualiti', 'tool', 'one', 'manag', 'work', 'okay', 'one', 'smoke', 'motor', 'wind', 'veri', 'littl', 'use', 'load', 'harbor', 'freight', 'cheapi', 'would', 'withstood', 'cheaper', 'buy', 'hand', 'harbor', 'freight', 'grinder', 'throw', 'away', 'think', 'twice', 'buy', 'milwauke', 'tool', 'theyr', 'milwauke', 'yesteryeartheyr', 'anoth', 'compani', 'whore', 'name', 'chines', 'made', 'junk', 'charg', 'qualiti', 'tool', 'price', 'well', 'go', 'harbor', 'freight', 'buy', 'cheap', 'crap', 'without', 'high', 'price', 'overpr', 'junk', 'gave', 'bosch', 'ev', 'combo', 'kit', 'star', 'becaus', '2nd', 'one', 'bought', 'first', 'one', 'year', 'ago', 'agreat', 'router', 'kit', 'want', 'mount', 'fix', 'base', 'tabl', 'use', 'plung', 'base', 'hand', 'held', 'use', 'got', 'made', 'person', 'experi', 'kit', 'wouldnt', 'ani', 'brand', 'perform', 'absolut', 'perfect', 'need', 'base', 'hand', 'held', 'use', 'tabl', 'mount', 'base', 'avail', 'also', 'anybodi', 'novic', 'pro', 'use', 'router', 'realli', 'great', 'kit', 'money', 'want', 'combo', 'kit', 'onli', 'one', 'never', 'occur', 'price', 'level', 'would', 'leav', 'one', 'basic', 'featur', 'find', 'cheapest', 'head', 'abil', 'adjust', 'flame', 'size', 'either', 'full', 'would', 'never', 'bought', 'know', 'model', 'import', 'featur', 'miss', 'doubt', 'lenox', 'product', 'sharp', 'brittl', 'break', 'easi', 'also', 'arent', 'coat', 'rust', 'easili', 'veri', 'disappoint', 'money', 'case', 'best', 'part', 'wont', 'purchas', 'cant', 'lenox', 'use', 'product', 'two', 'week', 'follow', 'instruct', 'provid', 'absolut', 'effect', 'red', 'perhap', 'make', 'wors', 'nice', 'scent', 'perfum', 'bottl', 'fill', 'howev', 'mayb', 'product', 'work', 'complet', 'wast', 'money', 'kit', 'arriv', 'prompt', 'perfect', 'condit', 'purchas', 'keep', 'neck', 'fuzz', 'neck', 'haircut', 'perfect', 'nonprofession', 'adept', 'use', 'tradit', 'straight', 'razor', 'way', 'given', 'stainless', 'steel', 'safeti', 'shield', 'cut', 'unlik', 'regular', 'multiblad', 'dispos', 'razor', 'doe', 'get', 'clog', 'neck', 'fuzz', 'hair', 'render', 'useless', 'go', 'troubl', 'unclog', 'wipe', 'clean', 'clean', 'run', 'faucet', 'water', 'razor', 'bit', 'pricey', 'profession', 'product', 'serv', 'intend', 'purpos', 'excel', 'think', 'get', 'pay', 'feather', 'style', 'razor', 'kit']"
blanca,female,"['product', 'extrem', 'expens', 'quantifi', 'get', 'bottl', 'worst', 'part', 'doe', 'work', 'expens', 'doe', 'work']"
bonita,female,"['stuff', 'noth', 'objection', 'thing', 'dye', 'perfum', 'harsh', 'anyth', 'love', 'ingredi', 'guess', 'could', 'eat', 'want', 'slightest', 'hint', 'scent', 'delight', 'fade', 'immediatelyi', 'wont', 'post', 'befor', 'pix', 'realli', 'nice', 'cream', 'even', 'cost', 'w', 'hich', 'higher', 'nicer', 'nicer', 'pretti', 'much', 'noth', 'commerci', 'market', 'seentri', 'read', 'label', 'stuff', 'shelv', 'folksit', 'nice', 'sheer', 'thin', 'cream', 'hint', 'oil', 'heavi', 'look', 'heavyduti', 'moistur', 'philosophi', 'see', 'websit', 'avoid', 'heavier', 'product', 'applic', 'oil', 'face', 'may', 'prevent', 'product', 'one', 'sure', 'product', 'gorgeous', 'dr', 'hauschka', 'rock']"
bonnie,female,"['im', 'year', 'old', 'ive', 'appli', 'gel', 'everi', 'night', 'past', 'five', 'six', 'year', 'way', 'know', 'wrinkl', 'would', 'wors', 'without', 'think', 'help', 'feel', 'wonder', 'appli', 'befor', 'get', 'bed', 'nightth', 'jar', 'doesnt', 'hold', 'much', 'use', 'veri', 'littl', 'applic', '2pack', 'econom', 'buy', 'one', 'time', 'retail', 'storea', 'good', 'product', 'fair', 'price', 'think', 'realli', 'help', 'hair', 'flat', 'time', 'differ', 'size', 'give', 'control', 'want', 'look', 'day', 'work', 'great', 'would', 'definit', 'recommend', 'price', 'one', 'onli', 'use', 'product', 'short', 'time', 'far', 'like', 'make', 'face', 'softer', 'deep', 'wrinkl', 'take', 'longer', 'use', 'im', 'sure', 'tns', 'product', 'great', 'fine', 'limp', 'hair', 'give', 'great', 'bodi', 'hair', 'stay', 'cleaner', 'longer', 'past', 'order', 'product', 'various', 'supplier', 'amazon', 'could', 'longer', 'find', 'product', 'local', 'bad', 'product', 'sent', 'mail', 'repres', 'great', 'product', 'howev', 'plenti', 'cosa', 'alway', 'trust', 'supplier', 'product', 'never', 'disappoint', 'product', 'qualiti', 'think', 'low', 'rate', 'unfair', 'represent', 'plenti', 'cosa', 'order', 'lot', 'never', 'onc', 'return', 'complain', 'kcfig', 'bad', 'order', 'bad', 'experi', 'supplier', 'regard', 'product', 'supplier', 'even', 'charg', 'product', 'defect', 'dont', 'understand', 'whi', 'low', 'rate', 'seem', 'associ', 'plenti', 'cosa', 'becaus', 'person', 'experi', 'supplier', 'yes', 'plenti', 'cosa', 'bb', 'great', 'product', 'great', 'supplier', 'plenti', 'cosa', 'could', 'bought', 'standard', 'cotton', 'glovesthey', 'dont', 'anticip', 'thought', 'would', 'littl', 'advertis', 'would', 'recommend', 'product', 'expect']"
boomer,male,"['ive', 'use', 'mani', 'wax', 'throughout', 'year', 'veri', 'thick', 'cors', 'hair', 'thank', 'grandpa', 'love', 'sebastian', 'crude', 'clay', 'use', 'product', 'mani', 'year', 'discontinu', 'tri', 'axe', 'product', 'found', 'lack', 'hold', 'came', 'across', 'tigi', 'product', 'love', 'best', 'wax', 'onli', 'product', 'manag', 'hair', 'would', 'recommend', 'product', 'best', 'matt', 'wax']"
boyd,male,"['year', 'old', 'daughter', 'complain', 'brush', 'even', 'one', 'suppos', 'made', 'kid', 'rough', 'uncomfort', 'delight', 'find', 'present', 'amongst', 'stock', 'stuffer', 'year', 'realli', 'enjoy', 'use', 'nice', 'soft', 'veri', 'comfort', 'brush', 'use', 'children', 'adult', 'alik', 'definit', 'like', 'great', 'littl', 'girl']"
brad,male,"['give', 'brake', 'ford', 'l', 'l', 'l', 'plug', 'great', 'money', 'maker', 'one', 'condol', 'spark', 'plug', 'veri', 'pleas', 'lamp', 'marbl', 'brass', 'part', 'solid', 'well', 'made', 'well', 'finish', 'lamp', 'look', 'great', 'room', 'yoa', 'daughter', 'comment', 'light', 'stream', 'lamp', 'immedi', 'insid', 'shade', 'coat', 'gold', 'colorfabr', 'light', 'reflect', 'throughout', 'room', 'golden', 'hue', 'veri', 'pleasant', 'pleas', 'purchas', 'lamp', 'classic', 'work', 'mmap', 'propan', 'etc', 'near', 'alway', 'turn', 'first', 'press', 'red', 'button', 'turn', 'instant', 'great', 'use', 'kitchen', 'amaz', 'use', 'bracket', 'build', 'collaps', 'counter', 'laundri', 'room', 'bracket', 'hold', 'lamin', 'counter', 'top', 'approxim', 'feet', 'wide', 'weight', 'weve', 'test', 'far', 'full', 'laundri', 'basket', 'bracket', 'allow', 'us', 'fold', 'tabl', 'need', 'abil', 'fold', 'wall', 'need', 'way', 'want', 'research', 'whi', 'liftmast', 'unit', 'might', 'hum', 'open', 'dooral', 'articl', 'lead', 'start', 'capacitori', 'look', 'part', 'need', 'order', 'capinstal', 'took', '510min', 'open', 'work', 'fix', 'hum', 'liftmast', 'open', 'love', 'doe', 'fog', 'morn', 'run', 'finger', 'fine', 'complaint', 'use', 'shower', 'everi', 'day']"
bradford,male,"['screw', 'strip', 'tri', 'put', 'also', 'doesnt', 'sit', 'flat', 'outlet', 'dont', 'wast', 'time', 'money', 'crap', 'way', 'around', 'garbag']"
bradley,male,"['fit', 'socket', 'hous', 'one', 'bought', 'one', 'fanci', 'high', 'tech', 'socket', 'bathroom', 'test', 'reset', 'button', 'socket', 'slight', 'apart', 'normal', 'onli', 'fit', 'standard', 'two', 'socket', 'configur', 'type', 'socket', 'bad', 'otherwis', 'nice', 'nice', 'didnt', 'fit', 'bathroom', 'socket', 'run', 'horizont', 'carri', 'weak', 'side', 'forward', 'one', 'leatherman', 'blast', 'rear', 'one', 'spare', 'mageveryth', 'stay', 'veri', 'conceal', 'way', 'doubl', 'spare', 'mag', 'pouch', 'surpris', 'poor', 'qualiti', 'atyp', 'dremel', 'never', 'even', 'turn', 'set', 'screw', 'hold', 'bit', 'strip', 'tighten', 'check', 'prior', 'tighten', 'thread', 'ok', 'put', 'right', 'back', 'box', 'return', 'poor', 'qualiti']"
brandon,male,"['tool', 'came', 'quick', 'made', 'cheap', 'one', 'vice', 'grip', 'actual', 'broke', 'u', 'shape', 'end', 'weld', 'handl', 'clamp', 'pipe', 'togeth', 'prob', 'made', 'china', 'u', 'pay', 'cheap', 'toolsyou', 'get', 'cheap', 'tool', 'u', 'get', 'u', 'pay', 'say', 'plug', 'play', 'major', 'hassl', 'get', 'setup', 'comp', 'win8', 'dpad', 'cheapli', 'made', 'direct', 'keep', 'get', 'stuck', 'play', 'street', 'fighter', 'qualiti', 'near', 'playstat', 'control', 'accustom', 'control', 'wont', 'hold', 'buttonmash', 'poor', 'qualiti', 'durabl', 'couldnt', 'happier', 'jig', 'ive', 'probabl', 'use', 'dozen', 'project', 'woodwork', 'side', 'job', 'hasnt', 'let', 'veri', 'easi', 'use', 'produc', 'great', 'result', 'excel', 'jig', 'sure', 'whi', 'everyon', 'downgrad', 'compressor', 'due', 'issu', 'cold', 'weather', 'oillub', 'compressor', 'issu', 'start', 'cold', 'weather', 'want', 'use', 'cold', 'weather', 'buy', 'seal', 'compressor', 'doe', 'requir', 'oil', 'prefer', 'oil', 'compressor', 'though', 'becaus', 'last', 'much', 'longer', 'seal', 'one', 'dothat', 'said', 'best', 'bang', 'buck', 'size', 'handl', 'ani', 'task', 'doe', 'requir', 'high', 'cfm', 'rate', 'run', 'impact', 'gun', 'doe', 'provid', 'much', 'torqu', 'larg', 'upright', 'compressor', 'would', 'due', 'lower', 'cfm', 'rate', 'air', 'ratchet', 'run', 'full', 'speed', 'compressoroth', 'review', 'correct', 'pictur', 'wrong', 'photo', 'shown', 'model', 'previous', 'year', 'pressur', 'gage', 'differ', 'spot', 'hard', 'read', 'set', 'forget', 'big', 'deal', 'compressor', 'turn', 'automat', 'see', 'reason', 'look', 'gage', 'anywaysoveral', 'veri', 'satisfi', 'compressor', 'believ', 'mani', 'year', 'come', 'good', 'compressor', 'price', 'updat', '24feb2014', 'point', 'return', 'router', 'get', 'dewalt', 'becaus', 'base', 'plate', 'base', 'plate', 'doe', 'accept', 'standard', 'bush', 'come', 'pc', 'dovetail', 'jig', 'anyth', 'els', 'matter', 'full', 'irriat', 'purchas', 'milescraft', 'univers', 'base', 'plate', 'adapt', 'bush', 'world', 'size', 'sign', 'kit', 'avail', 'low', 'allow', 'adapt', 'bush', 'silli', 'part', 'cant', 'close', 'nifti', 'bosch', 'case', 'travel', 'router', 'without', 'cut', 'work', 'intern', 'case', 'ridicul', 'yes', 'hope', 'bosch', 'make', 'custom', 'base', 'plate', 'soon', 'fix', 'becaus', 'adapt', 'adapt', 'bush', 'process', 'mani', 'connect', 'feel', 'posit', 'it17feb2014', 'read', 'ton', 'review', 'decis', 'came', 'bosch', '1617evspk', '618pk', 'dewalt', 'chose', 'bosch', 'pure', 'trust', 'review', 'two', 'featur', 'talk', 'run', 'around', 'differ', 'bit', 'regular', 'scrap', 'materi', 'garag', 'quiet', 'top', 'line', 'miter', 'saw', 'dewalt', 'multipl', 'time', 'quieter', 'circular', 'saw', 'im', 'veri', 'impress', 'full', 'speed', 'nois', 'router', 'work', 'babi', 'sleep', 'insid', 'hous', 'veri', 'awesom', 'onli', 'problem', 'right', 'loosen', 'collet', 'free', 'spin', 'rotat', 'get', 'tight', 'kind', 'pain', 'test', 'learn', 'imagin', 'someth', 'router', 'collet', 'loosen', 'someth', 'spin', '24k', 'rpm', 'plung', 'base', 'strong', 'although', 'consist', 'resist', 'way', 'bottom', 'allow', 'muscl', 'memori', 'make', 'consist', 'plung', 'cut', 'adjust', 'depth', 'stop', 'plung', 'base', 'littl', 'differ', 'use', 'havent', 'use', 'yet', 'figur', 'day', 'fix', 'base', 'veri', 'nice', 'wooden', 'handl', 'make', 'router', 'veri', 'classi', 'might', 'help', 'win', 'cours', 'adjust', 'veri', 'nice', 'speed', 'bit', 'movement', 'fine', 'tune', 'fine', 'work', 'great', 'handheld', 'use', 'also', 'abov', 'tabl', 'adjust', 'support', 'full', 'tabl', 'mount', 'anoth', 'featur', 'support', 'purchas', 'long', 'term', 'alway', 'consid', 'make', 'purchasesil', 'updat', 'put', 'hour', 'doubt', 'ill', 'make', 'ani', 'chang', 'turn', 'wood', 'butter', 'ani', 'bit', 'ive', 'never', 'sever', 'acn', 'ive', 'onli', 'gotten', 'consist', 'yet', 'veri', 'mild', 'breakout', 'throughout', 'adulthood', 'product', 'realli', 'got', 'rid', 'breakout', 'complet', 'pimpl', 'would', 'alway', 'show', 'week', 'basi', 'led', 'pop', 'led', 'scar', 'wasnt', 'extrem', 'unhappi', 'skin', 'befor', 'acnefre', 'knew', 'could', 'definit', 'betterso', 'one', 'day', 'decid', 'pick', 'total', 'acn', 'clear', 'system', 'shop', 'target', 'pick', 'read', 'nice', 'review', 'thought', '34whi', 'mayb', 'work34', 'start', 'use', 'product', 'week', 'notic', 'major', 'differ', 'skin', 'tone', 'textur', 'colorbrown', 'skin', 'hereaft', 'month', 'proper', 'consist', 'use', 'began', 'receiv', 'mani', 'compliment', 'skin', 'simpli', 'walk', 'street', 'work', 'shop', 'groceri', 'ive', 'even', 'women', 'stop', 'ask', 'kind', 'makeup', 'wear', 'take', 'huge', 'compliment', 'sinc', 'dont', 'wear', 'ani', 'product', 'liter', 'chang', 'feel', 'skin', 'blemish', 'break', 'realli', 'none', 'help', 'lighten', 'scar', 'becom', 'virtual', 'invisibleif', 'anyon', 'ask', 'use', 'face', 'tell', 'acn', 'kit', 'target', 'amazon', 'less', 'expens', 'purchas', 'believ', 'ive', 'peopl', 'come', 'back', 'tell', 'amaz', 'product', 'noth', 'ever', 'work', 'long', 'consist', 'ever', 'use', 'near', 'year', 'complaint', 'even', 'get', 'lazi', 'day', 'would', 'spell', 'disast', 'skin', 'befor', 'product', 'keep', 'work', 'use', 'consist', 'see', 'result', 'review', 'long', 'overdu', 'order', 'one', 'im', 'sure', 'would', 'gorgeous', 'sent', 'sun', 'burst', 'one', 'huge', 'fan', 'late', 'ship', 'like', 'whole', 'week', 'decid', 'keep', 'compani', 'reimburs', 'differ', 'thing', 'didnt', 'reimburs', 'proper', 'amount', 'idk', 'product', 'bad', 'compani', 'manag', 'f', 'everyth', 'possibl', 'could', 'im', 'buy', 'wrong', 'order']"
brandy,female,"['decid', 'make', 'pictur', 'frame', 'onli', 'problem', 'item', 'packag', 'say', 'blade', 'razor', 'sharp', 'open', 'box', 'tri', 'pick', 'thing', 'side', 'like', 'ani', 'person', 'would', 'blade', 'side', 'thing', 'slice', 'finger', 'good', 'littl', 'metal', 'bar', 'middl', 'thing', 'pick', 'open', 'box', 'dont', 'notic', 'get', 'cut', 'whi', 'blade', 'cover', 'way', 'cover', 'weigh', 'ton', 'better', 'someth', 'sturdi', 'set', 'thing', 'cut', 'havent', 'gotten', 'far', 'yetso', 'review', 'main', 'want', 'ship', 'could', 'safermain', 'blade', 'back', 'could', 'cover', 'somehow', 'need', 'work', 'great', 'onli', 'problem', 'cork', 'big', 'enough', 'bottl', 'littl', 'wobbl', 'easi', 'fix', 'great', 'purchas', 'enough', 'sensit', 'skin', 'skin', 'fair', 'low', 'mainten', 'doesnt', 'lather', 'littl', 'goe', 'long', 'way', 'nice', 'mild', 'scent', 'veri', 'gentl', 'cleanser', 'purchas', 'kanechom', 'keratin', 'condition', 'well', 'one', 'huge', 'last', 'forev', 'wonder', 'product', 'fine', 'cur', 'dri', 'hair', 'tortur', 'condition', 'keep', 'hair', 'happi', 'moistur', 'tri', 'silicon', 'mix', 'didnt', 'like', 'much', 'late', 'actual', 'mix', 'two', 'kanechom', 'condition', 'togeth', 'either', 'way', 'best', 'condition', 'ever', 'use', 'continu', 'repurchas', 'ill', 'probabl', 'tri', 'rest', 'offer', 'well', 'around', 'great', 'condition']"
breanna,female,"['boil', 'requir', 'best', 'rebuild', 'atom', 'give', 'cleanest', 'tast', 'fluffiest', 'vapor', 'plus', 'last', 'forev', 'best', 'micro', 'coil']"
